Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A875083,Bodean,5/7/2023 18:27,23-May,2/22/2018,Adoption,,Dog,Neutered Male,5 years,Redbone Hound Mix,Red
A878511,*Adonis,5/7/2023 18:50,23-May,4/12/2021,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever,White
A879569,*River,5/7/2023 19:25,23-May,4/27/2020,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,Brown Tabby
A878165,*Vivienne,5/8/2023 5:03,23-May,4/7/2022,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie
A880165,,5/8/2023 8:36,23-May,5/5/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby
A880074,A880074,5/8/2023 8:36,23-May,5/4/2022,Transfer,Snr,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby
A879274,*Daisy,5/8/2023 8:36,23-May,4/24/2022,Transfer,Snr,Cat,Intact Female,1 year,Domestic Shorthair,Black
A880125,,5/8/2023 8:36,23-May,5/4/2021,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Calico
A880167,,5/8/2023 8:36,23-May,5/5/2021,Transfer,Snr,Cat,Intact Male,2 years,Domestic Shorthair,Blue
A878327,*Whitman,5/8/2023 10:46,23-May,3/3/2023,Adoption,Foster,Dog,Neutered Male,2 months,Pit Bull Mix,Chocolate/White
A878330,*Dutch,5/8/2023 10:48,23-May,3/3/2023,Adoption,Foster,Dog,Neutered Male,2 months,Pit Bull Mix,Chocolate/White
A878575,*Ellie,5/8/2023 11:17,23-May,2/13/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A867144,*Pearl,5/8/2023 11:23,23-May,10/12/2014,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Longhair,Blue Tabby
A880228,,5/8/2023 11:35,23-May,5/6/2015,Transfer,Partner,Dog,Neutered Male,8 years,Yorkshire Terrier,Brown/Black
A880102,,5/8/2023 11:39,23-May,5/4/2018,Transfer,Partner,Dog,Intact Female,5 years,Papillon/Chihuahua Longhair,Tan
A878920,Goldie,5/8/2023 11:47,23-May,11/4/2022,Adoption,Foster,Dog,Neutered Male,6 months,German Shepherd Mix,Red
A879754,Richard,5/8/2023 12:38,23-May,5/1/2015,Transfer,Partner,Dog,Neutered Male,8 years,Beagle,Tricolor/White
A879757,Onslow,5/8/2023 12:38,23-May,5/1/2015,Transfer,Partner,Dog,Neutered Male,8 years,Beagle,Tricolor/White
A880219,,5/8/2023 12:40,23-May,5/13/2021,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair,Tan
A880157,,5/8/2023 12:41,23-May,11/5/2021,Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Brown
A880065,Layla,5/8/2023 12:52,23-May,9/4/2022,Transfer,Partner,Dog,Intact Female,8 months,Dandie Dinmont,Tan/Black
A879282,Tiffany,5/8/2023 12:53,23-May,4/24/2021,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever/Black Mouth Cur,Brown/Black
A880105,,5/8/2023 13:02,23-May,3/8/2023,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair,Orange Tabby
A880108,,5/8/2023 13:02,23-May,3/8/2023,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair,Orange Tabby
A875954,*Bernie,5/8/2023 14:41,23-May,3/7/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby/White
A879809,*Moose,5/8/2023 14:41,23-May,5/1/2021,Adoption,,Dog,Neutered Male,2 years,Rottweiler,Black/Tan
A879455,*Rufus,5/8/2023 14:43,23-May,4/26/2022,Adoption,,Dog,Neutered Male,1 year,American Bulldog Mix,White/Brown Brindle
A876053,*Cheerio,5/8/2023 15:10,23-May,3/1/2023,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tricolor
A876051,*Penelope,5/8/2023 15:12,23-May,3/8/2021,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair/Dachshund,Brown/White
A876057,*Churro,5/8/2023 15:12,23-May,3/1/2023,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Buff
A876056,*Chewie,5/8/2023 15:14,23-May,3/1/2023,Adoption,Foster,Dog,Spayed Female,2 months,Cocker Spaniel/Chihuahua Shorthair,Buff/White
A876055,*Chilly,5/8/2023 15:18,23-May,3/1/2023,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black/White
A876054,*Cheeto,5/8/2023 15:22,23-May,3/1/2023,Adoption,Foster,Dog,Neutered Male,2 months,Cocker Spaniel/Chihuahua Shorthair,Black/White
A876063,*Spade,5/8/2023 15:54,23-May,10/9/2022,Adoption,Foster,Dog,Neutered Male,6 months,Australian Cattle Dog/Siberian Husky,Tricolor
A880106,,5/8/2023 16:18,23-May,3/8/2023,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair,Blue Tabby
A853337,Kano,5/8/2023 16:20,23-May,3/17/2020,Adoption,,Dog,Neutered Male,3 years,American Staffordshire Terrier,Black/White
A880107,,5/8/2023 16:20,23-May,3/8/2023,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair,Cream Tabby
A879906,,5/8/2023 16:24,23-May,3/2/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,White/Brown Tabby
A880396,Shaggy,5/8/2023 16:34,23-May,9/8/2009,Return to Owner,,Dog,Neutered Male,13 years,Pbgv Mix,Tan
A879946,A879946,5/8/2023 16:42,23-May,2/23/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A878830,Maya,5/8/2023 16:49,23-May,2/2/2023,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,White/Yellow
A879945,A879945,5/8/2023 16:52,23-May,2/23/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A878812,,5/8/2023 17:10,23-May,2/17/2023,Adoption,Foster,Dog,Neutered Male,2 months,Siberian Husky Mix,Brown Brindle/White
A878758,A878758,5/8/2023 17:11,23-May,1/16/2023,Adoption,,Dog,Spayed Female,3 months,Catahoula Mix,Black/White
A878716,,5/8/2023 17:38,23-May,3/4/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,White/Black
A878718,,5/8/2023 17:42,23-May,3/4/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White
A880233,Charlotte,5/8/2023 17:47,23-May,6/5/2022,Return to Owner,,Cat,Spayed Female,11 months,Domestic Shorthair,Blue Tabby
A880006,,5/8/2023 17:50,23-May,3/3/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A880005,,5/8/2023 17:51,23-May,3/3/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A878715,,5/8/2023 18:43,23-May,3/4/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,White/Orange Tabby
A879131,Tobby,5/8/2023 18:48,23-May,4/22/2022,Rto-Adopt,,Dog,Neutered Male,1 year,Australian Kelpie/Labrador Retriever,Brown
A875742,*Layla,5/8/2023 18:54,23-May,3/3/2018,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair,Blue/White
A879846,*Kilo,5/8/2023 19:05,23-May,5/1/2021,Adoption,,Dog,Neutered Male,2 years,Staffordshire,White/Brown
A878708,*Shadow,5/8/2023 19:19,23-May,2/21/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A880414,64G,5/8/2023 19:20,23-May,5/8/2023,Transfer,Partner,Cat,Intact Male,0 years,Domestic Shorthair Mix,Black
A880401,,5/8/2023 19:21,23-May,5/1/2023,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Orange Tabby
A880402,,5/8/2023 19:21,23-May,5/1/2023,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Orange Tabby
A880390,,5/8/2023 19:22,23-May,4/16/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby
A880389,,5/8/2023 19:22,23-May,4/16/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Gray Tabby
A880404,,5/8/2023 19:22,23-May,5/1/2023,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Blue
A880403,,5/8/2023 19:22,23-May,5/1/2023,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Cream Tabby
A880392,,5/8/2023 19:23,23-May,4/16/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Orange Tabby/White
A880391,,5/8/2023 19:23,23-May,4/16/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Orange Tabby
A880394,,5/8/2023 19:23,23-May,4/16/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Calico
A880220,*Marvin,5/8/2023 19:24,23-May,5/5/2021,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby/White
A880397,,5/8/2023 19:25,23-May,4/4/2023,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Brown/White
A872885,Bear,5/8/2023 19:30,23-May,1/17/2020,Adoption,,Dog,Neutered Male,3 years,Pit Bull,Brown/White
A878624,Wheatie,5/8/2023 19:49,23-May,10/14/2018,Adoption,,Other,Neutered Male,4 years,Lop-Holland,Calico
A880379,,5/9/2023 9:43,23-May,4/23/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Brown Tabby
A876463,*Toby,5/9/2023 10:32,23-May,3/14/2020,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,Black
A878574,*Thelma,5/9/2023 11:20,23-May,2/13/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A878582,*Louise,5/9/2023 11:21,23-May,2/13/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A880469,Curious George,5/9/2023 12:00,23-May,11/9/2022,Transfer,Partner,Dog,Intact Male,5 months,Chihuahua Shorthair Mix,Tan/Black
A878427,*Jillian,5/9/2023 12:06,23-May,3/4/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A878431,*Jack,5/9/2023 12:08,23-May,3/4/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Orange/White
A879826,Xena,5/9/2023 13:37,23-May,5/1/2013,Rto-Adopt,,Dog,Spayed Female,10 years,Pit Bull,Fawn/White
A876968,*Bastet,5/9/2023 13:56,23-May,3/22/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Calico
A876609,*Carolina,5/9/2023 15:08,23-May,10/16/2021,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Brown
A880076,,5/9/2023 16:09,23-May,5/4/2019,Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair,Black/Brown
A879172,,5/9/2023 16:15,23-May,4/29/2018,Transfer,Snr,Cat,Neutered Male,5 years,Domestic Shorthair,Orange Tabby
A880130,Otama,5/9/2023 16:17,23-May,3/3/2020,Adoption,,Cat,Spayed Female,3 years,Domestic Medium Hair,Orange Tabby
A880195,A880195,5/9/2023 16:27,23-May,2/18/2023,Adoption,,Dog,Neutered Male,2 months,German Shepherd,Brown/Black
A878240,Akon,5/9/2023 16:36,23-May,10/9/2021,Rto-Adopt,,Dog,Neutered Male,1 year,American Foxhound/Pit Bull,Red/White
A876781,A876781,5/9/2023 16:41,23-May,1/30/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White
A879487,*Violet,5/9/2023 16:56,23-May,4/26/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Lilac Point
A880007,,5/9/2023 17:06,23-May,3/3/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby
A880249,*Stan,5/9/2023 17:10,23-May,11/9/2021,Return to Owner,,Dog,Intact Male,1 year,Alaskan Husky Mix,Tan/White
A880247,Luna,5/9/2023 17:10,23-May,10/30/2022,Return to Owner,,Dog,Intact Female,6 months,American Pit Bull Terrier,Chocolate
A880163,,5/9/2023 17:12,23-May,3/5/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue/White
A864017,Rico Soto,5/9/2023 17:20,23-May,2/19/2022,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Red
A879903,,5/9/2023 17:20,23-May,3/2/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White
A874841,*Sylvia,5/9/2023 17:23,23-May,2/18/2022,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull,Black/White
A878929,*Huckleberry,5/9/2023 17:40,23-May,10/19/2021,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair,Brown Tabby/White
A880162,,5/9/2023 17:56,23-May,3/5/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White
A876685,*Barney,5/9/2023 18:08,23-May,3/17/2021,Adoption,,Dog,Neutered Male,2 years,Belgian Malinois,Brown/Black
A880164,,5/9/2023 18:23,23-May,3/5/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Blue
A879241,D.O.G.,5/9/2023 18:31,23-May,8/23/2022,Rto-Adopt,,Dog,Spayed Female,8 months,Labrador Retriever,Black
A880161,,5/9/2023 18:37,23-May,3/5/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A879301,Samson,5/9/2023 18:41,23-May,4/24/2022,Adoption,,Dog,Neutered Male,1 year,Staffordshire Mix,Brown/White
A880060,*Sebastian,5/9/2023 19:13,23-May,5/4/2022,Transfer,Partner,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Red/White
A880027,Shadow,5/9/2023 19:26,23-May,5/3/2016,Adoption,,Cat,Neutered Male,7 years,Domestic Longhair,Black
A880026,Tiger,5/9/2023 19:29,23-May,5/3/2016,Adoption,,Cat,Neutered Male,7 years,Domestic Shorthair,Orange Tabby
A878717,Chelsea,5/10/2023 11:07,23-May,3/4/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White
A879733,Ghost,5/10/2023 11:25,23-May,4/30/2020,Return to Owner,,Dog,Neutered Male,3 years,Siberian Husky,Black/White
A848916,*Drew,5/10/2023 11:41,23-May,12/29/2019,Adoption,Foster,Dog,Neutered Male,3 years,Plott Hound Mix,Brown Brindle/White
A880213,Ra,5/10/2023 12:34,23-May,5/5/2018,Return to Owner,,Cat,Neutered Male,5 years,Domestic Shorthair,Orange Tabby
A880214,Mittens,5/10/2023 12:34,23-May,5/5/2018,Return to Owner,,Cat,Spayed Female,5 years,Domestic Shorthair,White/Calico
A880499,A880499,5/10/2023 12:45,23-May,4/25/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Black
A880500,A880500,5/10/2023 12:45,23-May,4/25/2023,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Black
A880501,A880501,5/10/2023 12:45,23-May,4/25/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Tortie
A880502,A880502,5/10/2023 12:47,23-May,4/25/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Black
A867935,*Wagner,5/10/2023 14:08,23-May,10/26/2020,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull,Blue/White
A879103,Ace,5/10/2023 14:23,23-May,1/21/2014,Adoption,,Dog,Neutered Male,9 years,Alaskan Malamute,Black/White
A878426,*Dan,5/10/2023 14:35,23-May,3/4/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Orange/White
A878889,*Rupert The Rooster,5/10/2023 15:39,23-May,4/18/2021,Adoption,,Bird,Intact Male,2 years,Chicken,Brown/Tan
A879395,*Mona Lisa,5/10/2023 16:00,23-May,4/25/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Tortie
A880264,,5/10/2023 16:11,23-May,5/6/2019,Transfer,Partner,Dog,Intact Female,4 years,English Bulldog,White/Tan
A880381,Yonaka,5/10/2023 16:32,23-May,3/8/2023,Adoption,,Dog,Spayed Female,2 months,Rottweiler/Pit Bull,Black/White
A879909,Kiwi,5/10/2023 16:47,23-May,3/2/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A793762,Fanny,5/10/2023 17:05,23-May,4/29/2016,Return to Owner,,Dog,Spayed Female,7 years,Border Collie Mix,Buff
A880295,Sarah,5/10/2023 17:06,23-May,1/1/2009,Return to Owner,,Dog,Spayed Female,14 years,Staffordshire,Gray
A879905,,5/10/2023 17:21,23-May,3/2/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White
A880452,Spike,5/10/2023 18:05,23-May,9/9/2022,Adoption,,Dog,Neutered Male,7 months,Chihuahua Shorthair,Sable
A880512,Pepper,5/10/2023 18:29,23-May,8/10/2022,Return to Owner,,Dog,Intact Female,8 months,Miniature Schnauzer Mix,White
A880559,,5/11/2023 8:33,23-May,4/29/2023,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair,Black
A880561,,5/11/2023 8:34,23-May,4/29/2023,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair,Brown Tabby
A880386,,5/11/2023 8:51,23-May,5/8/2021,Transfer,Snr,Cat,Intact Female,2 years,Domestic Shorthair,Tortie
A879327,,5/11/2023 8:52,23-May,4/24/2022,Transfer,Snr,Cat,Unknown,1 year,Domestic Shorthair,White/Black
A880194,Ghost,5/11/2023 10:05,23-May,2/18/2023,Adoption,,Dog,Neutered Male,2 months,German Shepherd,White
A880055,Sandy,5/11/2023 10:17,23-May,1/4/2023,Transfer,Partner,Dog,Intact Female,4 months,German Shepherd/Siberian Husky,Tan/Black
A871090,*Steve,5/11/2023 10:24,23-May,7/26/2021,Adoption,,Dog,Neutered Male,1 year,Siberian Husky,Red/White
A880201,,5/11/2023 10:43,23-May,5/5/2021,Transfer,Partner,Dog,Intact Female,2 years,Black Mouth Cur Mix,Tan/Brown
A825523,Max,5/11/2023 10:51,23-May,11/5/2018,Adoption,Foster,Dog,Neutered Male,4 years,Border Collie Mix,Black/White
A879381,A879381,5/11/2023 12:10,23-May,4/3/2023,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
A880299,A880299,5/11/2023 12:15,23-May,3/7/2023,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair,Brown Tabby/White
A839477,Luna,5/11/2023 12:22,23-May,7/22/2018,Return to Owner,,Dog,Spayed Female,4 years,Siberian Husky,Black/White
A839476,Max,5/11/2023 12:22,23-May,7/22/2018,Return to Owner,,Dog,Neutered Male,4 years,Siberian Husky/German Shepherd,Cream/Brown
A880577,A880577,5/11/2023 12:23,23-May,1/11/2022,Transfer,Partner,Dog,Intact Female,1 year,Labrador Retriever Mix,Tan/White
A876674,Manchego,5/11/2023 13:16,23-May,3/17/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Medium Hair,Blue
A878297,Oatly,5/11/2023 13:29,23-May,3/10/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A880544,,5/11/2023 13:40,23-May,3/26/2023,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby/White
A880542,,5/11/2023 13:40,23-May,3/26/2023,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White
A879964,,5/11/2023 14:41,23-May,5/3/2021,Transfer,Partner,Dog,Intact Female,2 years,Chinese Sharpei,Brown
A879329,,5/11/2023 14:44,23-May,2/28/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby/White
A877965,Duts,5/11/2023 15:00,23-May,4/5/2020,Adoption,,Dog,Spayed Female,3 years,Siberian Husky/German Shepherd,Brown/Tan
A880483,Lady,5/11/2023 15:15,23-May,5/10/2022,Return to Owner,,Dog,Intact Female,1 year,Boxer Mix,Brown/Black
A880481,Beasly,5/11/2023 15:15,23-May,5/10/2020,Return to Owner,,Dog,Intact Male,3 years,German Shepherd,White
A876947,,5/11/2023 16:31,23-May,3/9/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black Smoke
A880546,Chloe,5/11/2023 16:33,23-May,5/10/2022,Return to Owner,,Dog,Intact Female,1 year,Siberian Husky,Black/White
A880547,Naomi,5/11/2023 16:34,23-May,5/10/2022,Return to Owner,,Dog,Intact Female,1 year,Siberian Husky,Black/White
A880263,*Squish,5/11/2023 16:36,23-May,5/6/2021,Transfer,Partner,Dog,Neutered Male,2 years,American Bulldog,Red/White
A879184,Mingo,5/11/2023 16:38,23-May,2/22/2023,Adoption,,Dog,Spayed Female,2 months,Black Mouth Cur,Tan/Black
A879944,Xeria,5/11/2023 16:47,23-May,11/11/2022,Adoption,,Dog,Spayed Female,5 months,German Wirehaired Pointer/Labrador Retriever,Chocolate
A880606,231 Grams,5/11/2023 16:54,23-May,4/26/2023,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Calico
A880610,A880610,5/11/2023 16:54,23-May,5/4/2023,Transfer,Partner,Dog,Intact Female,1 week,Border Collie,Black/White
A880453,Emmie,5/11/2023 16:57,23-May,9/9/2022,Adoption,,Dog,Spayed Female,8 months,Chihuahua Shorthair,Tan/White
A876951,Clementine,5/11/2023 17:07,23-May,3/9/2023,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A879637,*Cupid,5/11/2023 17:28,23-May,10/28/2021,Adoption,,Dog,Spayed Female,1 year,Black Mouth Cur,Brown/Black
A876948,Jules,5/11/2023 17:31,23-May,3/9/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A879837,*Barnaby,5/11/2023 17:47,23-May,5/1/2021,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Black
A872519,*Tamatoa,5/11/2023 18:20,23-May,7/11/2021,Adoption,,Dog,Spayed Female,1 year,Siberian Husky/Australian Kelpie,Tan/White
A880614,,5/11/2023 19:09,23-May,5/11/2022,Transfer,Partner,Dog,Intact Female,1 year,Australian Kelpie/Labrador Retriever,Red
A876653,Bug,5/11/2023 19:11,23-May,3/17/2023,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby
A876949,*Theo,5/11/2023 19:18,23-May,3/9/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White
A873684,Bravo,5/11/2023 19:19,23-May,9/29/2022,Rto-Adopt,,Dog,Neutered Male,7 months,Labrador Retriever Mix,Tan/White
A880186,,5/12/2023 0:00,23-May,5/5/2023,Transfer,Partner,Dog,Intact Male,1 week,Chihuahua Shorthair Mix,Chocolate/Tan
A880189,,5/12/2023 0:00,23-May,5/5/2023,Transfer,Partner,Dog,Intact Male,1 week,Chihuahua Shorthair Mix,White
A879566,,5/12/2023 0:00,23-May,4/27/2022,Transfer,Partner,Dog,Intact Female,1 year,Chihuahua Shorthair,Cream/White
A880188,,5/12/2023 0:00,23-May,5/5/2023,Transfer,Partner,Dog,Intact Male,1 week,Chihuahua Shorthair Mix,Chocolate/Tan
A880187,,5/12/2023 0:00,23-May,5/5/2023,Transfer,Partner,Dog,Intact Male,1 week,Chihuahua Shorthair Mix,Chocolate/Tan
A876652,Gravy,5/12/2023 11:09,23-May,3/17/2023,Adoption,,Cat,Neutered Male,1 month,Domestic Shorthair,Blue Tabby
A876650,*Nyla,5/12/2023 11:10,23-May,3/17/2023,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair,Blue
A880345,Foxxie,5/12/2023 11:13,23-May,3/8/2023,Transfer,Partner,Dog,Intact Female,2 months,Chihuahua Shorthair/Siberian Husky,White/Brown
A880261,*Tiny Tuna,5/12/2023 11:13,23-May,5/6/2020,Transfer,Partner,Dog,Intact Female,3 years,Chihuahua Longhair,White
A862538,Goku,5/12/2023 11:27,23-May,7/27/2021,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull,Blue
A879573,Oreo,5/12/2023 11:47,23-May,4/27/2018,Return to Owner,,Dog,Intact Male,5 years,Chihuahua Shorthair,Black/Brown
A880289,Nalu,5/12/2023 11:48,23-May,1/23/2017,Return to Owner,,Dog,Neutered Male,6 years,Golden Retriever Mix,Gold/Tan
A875766,*Jasper,5/12/2023 13:34,23-May,3/4/2021,Adoption,,Dog,Neutered Male,2 years,Boxer,White
A871480,Honey,5/12/2023 13:43,23-May,12/25/2012,Rto-Adopt,,Dog,Spayed Female,10 years,Pit Bull/Labrador Retriever,Tan/White
A857985,*Charming,5/12/2023 14:20,23-May,5/23/2020,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
A880098,Comet,5/12/2023 14:43,23-May,5/4/2019,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair,Orange Tabby
A880329,A880329,5/12/2023 15:02,23-May,1/7/2023,Transfer,Partner,Dog,Unknown,4 months,Siberian Husky,Black/White
A880347,*Daisy,5/12/2023 15:03,23-May,5/8/2020,Transfer,Partner,Dog,Intact Female,3 years,Miniature Schnauzer Mix,White/Tan
A880631,Fifi,5/12/2023 15:09,23-May,10/12/2022,Return to Owner,,Dog,Intact Female,6 months,Siberian Husky,Black/White
A862845,Legacy,5/12/2023 15:39,23-May,6/1/2022,Adoption,,Dog,Spayed Female,11 months,Labrador Retriever Mix,Sable
A879189,*Thor,5/12/2023 15:52,23-May,2/22/2023,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur,Tan/Black
A880641,,5/12/2023 15:53,23-May,2/25/2023,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever,Cream/White
A878088,Allie,5/12/2023 16:08,23-May,4/6/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,White/Brown Tabby
A877943,Shakespurr,5/12/2023 16:08,23-May,3/22/2019,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue
A880642,255 Grams,5/12/2023 16:14,23-May,4/20/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Black/White
A880643,265 Grams,5/12/2023 16:14,23-May,4/20/2023,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair,Calico/White
A880649,,5/12/2023 16:15,23-May,4/20/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue/White
A880647,,5/12/2023 16:15,23-May,4/20/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue Tabby/White
A880648,,5/12/2023 16:15,23-May,4/20/2023,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue Tabby/White
A873723,*Darling,5/12/2023 16:19,23-May,5/3/2022,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Boston Terrier,White/Black
A878087,Princessa,5/12/2023 16:23,23-May,4/6/2021,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair,Tortie
A879742,,5/12/2023 17:00,23-May,4/30/2021,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Longhair,Black/Black
A877968,Kitten Catyn,5/12/2023 17:49,23-May,4/5/2013,Adoption,,Cat,Spayed Female,10 years,Domestic Shorthair,Blue/White
A880226,,5/12/2023 17:57,23-May,11/5/2022,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair,Black/White
A880451,Roko,5/12/2023 18:01,23-May,2/9/2023,Rto-Adopt,,Dog,Neutered Male,3 months,Catahoula,Yellow Brindle/White
